EventId,EventTemplate
E35,Diagnostics report from <*>: Error: java.net.NoRouteToHostException: No Route to Host from MININT-<*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost
E36,Done acknowledgement from <*>
E37,Emitting job history data to the timeline server is not enabled
E38,ERROR IN CONTACTING RM.
E39,"Error Recovery for block BP-<*> in pipeline <*>, <*>: bad datanode <*>"
E40,Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@<*>
E41,"Event Writer setup for JobId: <*>, File: <*>"
E42,Executing with tokens:
E43,Extract jar:file:<*> to <*>
E44,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...
E45,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>"
E46,Got allocated containers <*>
E47,Http request log for http.requests.mapreduce is not defined
E48,Input size for job <*> = <*>. Number of splits = <*>
E49,Instantiated MRClientService at MININT-<*>
E50,IPC Server listener on <*>: starting
E51,IPC Server Responder: starting
E52,Jetty bound to port <*>
E53,jetty-<*>
E54,<*> Transitioned from INITED to SETUP
E55,<*> Transitioned from NEW to INITED
E56,<*> Transitioned from SETUP to RUNNING
E57,JOB_CREATE <*>
E58,JVM with ID : <*> asked for a task
E59,JVM with ID: <*> given task: <*>
E60,KILLING <*>
E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
E62,Launching <*>
E63,loaded properties from hadoop-metrics2.properties
E64,Logging to <*>(org.mortbay.log) via <*>
E65,"mapResourceRequest:<memory:<*>, vCores:<*>"
E66,"maxContainerCapability: <memory:<*>, vCores:<*>>"
E67,maxTaskFailuresPerNode is <*>
E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>."
E69,MRAppMaster metrics system started
E70,nodeBlacklistingEnabled:<*>
E71,Not uberizing <*> because: not enabled; too many maps; too much input;
E72,Num completed Tasks: <*>
E73,Number of reduces for job <*> = <*>
E74,Opening proxy : <*>
E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
E76,OutputCommitter set in config <*>
E77,Processing the event EventType: <*> for container <*> taskAttempt <*>
E78,Processing the event EventType: JOB_SETUP
E79,Processing the event EventType: TASK_ABORT
E80,Progress of TaskAttempt <*> is : <*>
E81,Putting shuffle token in serviceData
E82,queue: default
E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
E84,Received completed container <*>
E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
E86,Reduce slow start threshold reached. Scheduling reduces.
E87,"reduceResourceRequest:<memory:<*>, vCores:<*>"
E88,Registered webapp guice modules
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>
E90,Resolved <*> to <*>
E91,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)"
E92,Scheduled snapshot period at <*> second(s).
E93,Scheduling a redundant attempt for task <*>
E94,Shuffle port returned by ContainerManager for <*> : <*>
E95,Size of containertokens_dob is <*>
E96,"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>, <*>]"
E97,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>
E98,Starting Socket Reader #<*> for port <*>
E99,Task cleanup failed for attempt <*>
E100,Task succeeded with attempt <*>
E101,Task: <*> - exited : java.net.NoRouteToHostException: No Route to Host from MININT-<*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost
E102,<*> Task Transitioned from NEW to SCHEDULED
E103,<*> Task Transitioned from RUNNING to SUCCEEDED
E104,<*> Task Transitioned from SCHEDULED to RUNNING
E105,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>]
E106,The job-conf file on the remote FS is <*>
E107,The job-jar file on the remote FS is <*>
E108,"Thread Thread[eventHandlingThread,<*>,main] threw an Exception."
E109,Upper limit on the thread pool size is <*>
E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue
E111,Using mapred newApiCommitter.
E112,We launched <*> speculations. Sleeping <*> milliseconds.
E113,Web app <*> started at <*>
E114,yarn.client.max-cached-nodemanagers-proxies : <*>
