log,template
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,Received block blk_<*> of size <*> from /<*>
Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,Received block blk_<*> of size <*> from /<*>
Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 1 for block blk_-5073870177832699716 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 0 for block blk_7791237942696729620 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 1 for block blk_-1527267659500322006 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 1 for block blk_4886940526690879848 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,Received block blk_<*> of size <*> from /<*>
PacketResponder 0 for block blk_-4229375751333894621 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,Received block blk_<*> of size <*> from /<*>
Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,Received block blk_<*> of size <*> from /<*>
Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,Received block blk_<*> of size <*> from /<*>
Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,Received block blk_<*> of size <*> from /<*>
Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,Received block blk_<*> of size <*> from /<*>
Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,Received block blk_<*> of size <*> from /<*>
Verification succeeded for blk_-2827716238972737794,Verification succeeded for blk_<*>
Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 0 for block blk_9093049293972551787 terminating,PacketResponder <*> for block blk_<*> terminating
Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,Deleting block blk_<*> file /<*>/blk_<*>
10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,<*>:<*> Served block blk_<*> to /<*>
10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229,<*>:<*> Served block blk_<*> to /<*>
10.251.39.192:50010 Served block blk_-5341992729755584578 to /10.251.39.192,<*>:<*> Served block blk_<*> to /<*>
10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.71.68:50010 Served block blk_-2794533871450434534 to /10.251.199.150,<*>:<*> Served block blk_<*> to /<*>
10.250.13.188:50010:Got exception while serving blk_6241141267506413726 to /10.251.194.245:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.199.19:50010:Got exception while serving blk_8466246428293623262 to /10.251.106.37:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.250.9.207:50010:Got exception while serving blk_-3140754468249228022 to /10.250.9.207:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.250.6.214:50010 Served block blk_5739119717322549945 to /10.251.43.115,<*>:<*> Served block blk_<*> to /<*>
10.250.14.196:50010:Got exception while serving blk_-305633040016166849 to /10.251.38.53:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.203.166:50010 Served block blk_8787656642683881295 to /10.251.107.98,<*>:<*> Served block blk_<*> to /<*>
10.251.90.64:50010:Got exception while serving blk_-4841792440390267307 to /10.251.90.239:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.67.113:50010:Got exception while serving blk_-62891505109755100 to /10.250.7.96:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.74.79:50010:Got exception while serving blk_2244903517044280975 to /10.251.74.134:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.214.112:50010:Got exception while serving blk_5905933788014151041 to /10.251.214.112:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.43.210:50010:Got exception while serving blk_2969087638814291714 to /10.251.199.86:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.126.255:50010:Got exception while serving blk_2879780987351022871 to /10.251.39.144:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.73.220:50010:Got exception while serving blk_4934527196392001803 to /10.251.203.246:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.73.188:50010:Got exception while serving blk_7517964792804498202 to /10.250.6.191:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
10.251.90.134:50010:Got exception while serving blk_7154985168984871115 to /10.251.110.160:,<*>:<*>:Got exception while serving blk_<*> to /<*>:
Received block blk_-6867873931012347356 of size 67108864 from /10.251.39.64,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_6093743385844975689 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_8692428775973608797 src: /10.250.10.213:56574 dest: /10.250.10.213:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 0 for block blk_-6837050820114491742 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_-5195432543794777448 of size 67108864 from /10.250.10.6,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.68:50010 is added to blk_1636660629634995787 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.75.79:50010 is added to blk_467589865104023338 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_7929144620252342335 of size 67108864 from /10.251.31.5,Received block blk_<*> of size <*> from /<*>
Receiving block blk_-1798958443298220150 src: /10.251.111.209:57419 dest: /10.251.111.209:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 0 for block blk_-54240672253074715 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_-6412155847905320411 src: /10.251.30.85:58995 dest: /10.251.30.85:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Receiving block blk_699651392443620263 src: /10.251.70.5:34703 dest: /10.251.70.5:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Receiving block blk_-8788032532930439012 src: /10.251.126.255:41104 dest: /10.251.126.255:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_-3455521536483250153 of size 67108864 from /10.251.106.37,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.85:50010 is added to blk_-7017553867379051457 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_-1259190292740306590 src: /10.251.65.203:36289 dest: /10.251.65.203:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. blk_-6620182933895093708,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Receiving block blk_-8562334328670278932 src: /10.251.194.147:46714 dest: /10.251.194.147:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 1 for block blk_-8108913101671416218 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 0 for block blk_-7640601843607665080 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_7654726977769174867 src: /10.251.110.160:49990 dest: /10.251.110.160:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 1 for block blk_8320088109701056055 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_4585055992495043771 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-4330512786228504138 of size 67108864 from /10.251.67.225,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.179:50010 is added to blk_4628142183191390143 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 2 for block blk_-6766351519628312408 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.237:50010 is added to blk_-476906696485288376 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 0 for block blk_-7436749154361133879 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_7061131805920430446 src: /10.250.7.32:53397 dest: /10.250.7.32:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_-684595390732854503 of size 67108864 from /10.250.6.191,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_-6956067134432991406 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 0 for block blk_549647953114643908 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0/part-00230. blk_559204981722276126,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
PacketResponder 1 for block blk_-165500353496111884 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0/part-00169. blk_-7105305952901940477,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Receiving block blk_-9103764593642564543 src: /10.251.43.115:46385 dest: /10.251.43.115:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 0 for block blk_3160319368100972992 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_-562725280853087685 of size 67108864 from /10.251.91.84,Received block blk_<*> of size <*> from /<*>
PacketResponder 1 for block blk_4568377692254637284 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_-5217146995455608468 src: /10.251.214.67:38871 dest: /10.251.214.67:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.199.225:50010 is added to blk_7481361125021302112 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-71429470616906355 of size 67108864 from /10.250.19.16,Received block blk_<*> of size <*> from /<*>
Receiving block blk_-522892190802801712 src: /10.251.74.134:39584 dest: /10.251.74.134:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_-3249711809227781266 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_-6329494504520216748 src: /10.251.25.237:39332 dest: /10.251.25.237:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000318_0/part-00318. blk_-207775976836691685,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.4:50010 is added to blk_5114010683183383297 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 1 for block blk_-7656610147924319419 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 0 for block blk_-6500549130351529113 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_-8255732027871411321 src: /10.251.39.179:33950 dest: /10.251.39.179:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 2 for block blk_-2896670847306153652 terminating,PacketResponder <*> for block blk_<*> terminating
Receiving block blk_-8856628810470361280 src: /10.250.5.237:41923 dest: /10.250.5.237:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_3463540868626173125 of size 67108864 from /10.251.30.134,Received block blk_<*> of size <*> from /<*>
Received block blk_-5309211894896608429 of size 67108864 from /10.251.202.181,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.15.240:50010 is added to blk_-1055254430948037872 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_3962600675982666210 src: /10.251.123.195:37374 dest: /10.251.123.195:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 0 for block blk_-730776401372551814 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 2 for block blk_-7553009628768897700 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_3068335169639013019 of size 67108864 from /10.251.71.68,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.90.239:50010 is added to blk_-9069971851590882719 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.67.4:50010 is added to blk_-8924134715029713489 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.146:50010 is added to blk_278357163850888 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_-5135777574223073423 src: /10.251.65.237:48648 dest: /10.251.65.237:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
PacketResponder 2 for block blk_-1148756466197125339 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 1 for block blk_9074030793567748915 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 0 for block blk_3259872359515191972 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 1 for block blk_5963816136267066159 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000138_0/part-00138. blk_-210021574616486609,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Verification succeeded for blk_-1547954353065580372,Verification succeeded for blk_<*>
Receiving block blk_-8524274644018377752 src: /10.251.42.16:33011 dest: /10.251.42.16:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_7484759945731484842 of size 67108864 from /10.251.203.149,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.242:50010 is added to blk_-4110733372292809607 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-7152190882826520998 of size 67108864 from /10.250.14.143,Received block blk_<*> of size <*> from /<*>
Receiving block blk_-6543889749770222531 src: /10.251.107.98:56224 dest: /10.251.107.98:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_8772892713521115147 of size 67108864 from /10.251.194.245,Received block blk_<*> of size <*> from /<*>
Received block blk_-6979800421545566530 of size 67108864 from /10.250.10.176,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000382_0/part-00382. blk_8935202950442998446,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
PacketResponder 1 for block blk_-4799092443170733505 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000392_0/part-00392. blk_-3010126661650043258,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
PacketResponder 0 for block blk_397848436489409658 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.199.86:50010 is added to blk_-9181958042427679309 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-5124326558394984439 of size 67108864 from /10.251.122.79,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.37:50010 is added to blk_-4741127506068309449 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
PacketResponder 1 for block blk_-4937215748597091532 terminating,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.25.237:50010 is added to blk_541463031152673662 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Received block blk_-7514806214244798312 of size 67108864 from /10.250.15.101,Received block blk_<*> of size <*> from /<*>
Received block blk_-7007208336332784130 of size 67108864 from /10.251.27.63,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.146:50010 is added to blk_-6836642008179678048 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
Receiving block blk_5760391051658436046 src: /10.251.42.84:59752 dest: /10.251.42.84:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000675_0/part-00675. blk_-7866582011201618766,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.18:50010 is added to blk_-7555801584297376435 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.26.177:50010 is added to blk_-5949883083428548093 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_000705_0/part-00705. blk_-9162090767925303921,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
Receiving block blk_4238127626194855481 src: /10.250.11.100:59324 dest: /10.250.11.100:50010,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
Received block blk_-3805070405372551730 of size 67108864 from /10.251.109.236,Received block blk_<*> of size <*> from /<*>
Received block blk_-2013946318750925538 of size 67108864 from /10.251.126.22,Received block blk_<*> of size <*> from /<*>
PacketResponder 1 for block blk_3278280638950561822 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 0 for block blk_-9161369067334198861 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_-1094025072435547068 of size 67108864 from /10.251.66.3,Received block blk_<*> of size <*> from /<*>
Received block blk_6534693994677948144 of size 67108864 from /10.251.201.204,Received block blk_<*> of size <*> from /<*>
PacketResponder 2 for block blk_-4566099704755845087 terminating,PacketResponder <*> for block blk_<*> terminating
PacketResponder 0 for block blk_-8093500164295459838 terminating,PacketResponder <*> for block blk_<*> terminating
Received block blk_-3787594914477940893 of size 67108864 from /10.251.71.16,Received block blk_<*> of size <*> from /<*>
Received block blk_426381928692704514 of size 67108864 from /10.251.122.38,Received block blk_<*> of size <*> from /<*>
BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001095_0/part-01095. blk_-7413910507260978729,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>
