LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,E27,check pass; user unknown
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,E27,check pass; user unknown
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,check pass; user unknown,E27,check pass; user unknown
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,check pass; user unknown,E27,check pass; user unknown
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
33,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,check pass; user unknown,E27,check pass; user unknown
34,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
35,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
36,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
37,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,check pass; user unknown,E27,check pass; user unknown
38,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
39,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,check pass; user unknown,E27,check pass; user unknown
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
41,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,check pass; user unknown,E27,check pass; user unknown
42,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
43,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,check pass; user unknown,E27,check pass; user unknown
44,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
45,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,check pass; user unknown,E27,check pass; user unknown
46,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
47,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,check pass; user unknown,E27,check pass; user unknown
48,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
49,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,check pass; user unknown,E27,check pass; user unknown
50,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
51,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,check pass; user unknown,E27,check pass; user unknown
52,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
53,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,check pass; user unknown,E27,check pass; user unknown
54,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
55,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,check pass; user unknown,E27,check pass; user unknown
56,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
57,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,check pass; user unknown,E27,check pass; user unknown
58,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
59,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,check pass; user unknown,E27,check pass; user unknown
60,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
61,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,check pass; user unknown,E27,check pass; user unknown
62,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
63,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,check pass; user unknown,E27,check pass; user unknown
64,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
65,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,check pass; user unknown,E27,check pass; user unknown
66,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
67,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,check pass; user unknown,E27,check pass; user unknown
68,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
69,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,check pass; user unknown,E27,check pass; user unknown
70,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
71,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,check pass; user unknown,E27,check pass; user unknown
72,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
73,Jun,16,04:10:22,combo,su(pam_unix),25178.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
74,Jun,16,04:10:23,combo,su(pam_unix),25178.0,session closed for user cyrus,E101,session closed for user <*>
75,Jun,16,04:10:24,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
76,Jun,16,04:16:17,combo,su(pam_unix),25548.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
77,Jun,16,04:16:18,combo,su(pam_unix),25548.0,session closed for user news,E101,session closed for user <*>
78,Jun,17,04:03:33,combo,su(pam_unix),27953.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
79,Jun,17,04:03:34,combo,su(pam_unix),27953.0,session closed for user cyrus,E101,session closed for user <*>
80,Jun,17,04:03:36,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
81,Jun,17,04:09:43,combo,su(pam_unix),29190.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
82,Jun,17,04:09:45,combo,su(pam_unix),29190.0,session closed for user news,E101,session closed for user <*>
83,Jun,17,07:07:00,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
84,Jun,17,07:07:00,combo,ftpd,29508.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
85,Jun,17,07:07:00,combo,ftpd,29507.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
86,Jun,17,07:07:00,combo,ftpd,29505.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
87,Jun,17,07:07:00,combo,ftpd,29506.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
88,Jun,17,07:07:00,combo,ftpd,29509.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
89,Jun,17,07:07:02,combo,ftpd,29510.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,E29,connection from <*> (<*>) at <*>
90,Jun,17,07:07:04,combo,ftpd,29511.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E29,connection from <*> (<*>) at <*>
91,Jun,17,19:43:13,combo,sshd(pam_unix),30565.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
92,Jun,17,20:29:26,combo,sshd(pam_unix),30631.0,session opened for user test by (uid=509),E102,session opened for user <*> by (uid=<*>)
93,Jun,17,20:34:57,combo,sshd(pam_unix),30631.0,session closed for user test,E101,session closed for user <*>
94,Jun,17,20:55:06,combo,ftpd,30755.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
95,Jun,17,20:55:06,combo,ftpd,30754.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
96,Jun,17,20:55:06,combo,ftpd,30753.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
97,Jun,17,20:55:06,combo,ftpd,30756.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
98,Jun,17,20:55:06,combo,ftpd,30757.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
99,Jun,17,20:55:07,combo,ftpd,30758.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>
100,Jun,17,20:55:07,combo,ftpd,30759.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>
101,Jun,18,01:30:59,combo,sshd(pam_unix),31201.0,check pass; user unknown,E27,check pass; user unknown
102,Jun,18,01:30:59,combo,sshd(pam_unix),31201.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
103,Jun,18,01:30:59,combo,sshd(pam_unix),31199.0,check pass; user unknown,E27,check pass; user unknown
104,Jun,18,01:30:59,combo,sshd(pam_unix),31199.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
105,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,check pass; user unknown,E27,check pass; user unknown
106,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
107,Jun,18,01:30:59,combo,sshd(pam_unix),31202.0,check pass; user unknown,E27,check pass; user unknown
108,Jun,18,01:30:59,combo,sshd(pam_unix),31202.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
109,Jun,18,01:30:59,combo,sshd(pam_unix),31205.0,check pass; user unknown,E27,check pass; user unknown
110,Jun,18,01:30:59,combo,sshd(pam_unix),31205.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
111,Jun,18,01:30:59,combo,sshd(pam_unix),31200.0,check pass; user unknown,E27,check pass; user unknown
112,Jun,18,01:30:59,combo,sshd(pam_unix),31200.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
113,Jun,18,01:30:59,combo,sshd(pam_unix),31206.0,check pass; user unknown,E27,check pass; user unknown
114,Jun,18,01:30:59,combo,sshd(pam_unix),31206.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
115,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,check pass; user unknown,E27,check pass; user unknown
116,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
117,Jun,18,01:30:59,combo,sshd(pam_unix),31203.0,check pass; user unknown,E27,check pass; user unknown
118,Jun,18,01:30:59,combo,sshd(pam_unix),31203.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
119,Jun,18,01:30:59,combo,sshd(pam_unix),31207.0,check pass; user unknown,E27,check pass; user unknown
120,Jun,18,01:30:59,combo,sshd(pam_unix),31207.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
121,Jun,18,02:08:10,combo,ftpd,31272.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
122,Jun,18,02:08:10,combo,ftpd,31273.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
123,Jun,18,02:08:10,combo,ftpd,31274.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
124,Jun,18,02:08:10,combo,ftpd,31275.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
125,Jun,18,02:08:10,combo,ftpd,31276.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
126,Jun,18,02:08:10,combo,ftpd,31277.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
127,Jun,18,02:08:10,combo,ftpd,31278.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
128,Jun,18,02:08:11,combo,ftpd,31279.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
129,Jun,18,02:08:11,combo,ftpd,31280.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
130,Jun,18,02:08:11,combo,ftpd,31281.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
131,Jun,18,02:08:11,combo,ftpd,31282.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
132,Jun,18,02:08:11,combo,ftpd,31283.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
133,Jun,18,02:08:12,combo,ftpd,31284.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
134,Jun,18,02:08:12,combo,ftpd,31285.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
135,Jun,18,02:08:12,combo,ftpd,31286.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
136,Jun,18,02:23:10,combo,ftpd,31277.0,User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,E112,User unknown timed out after <*> seconds at <*>
137,Jun,18,04:07:05,combo,su(pam_unix),31791.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
138,Jun,18,04:07:06,combo,su(pam_unix),31791.0,session closed for user cyrus,E101,session closed for user <*>
139,Jun,18,04:07:06,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
140,Jun,18,04:12:42,combo,su(pam_unix),32164.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
141,Jun,18,04:12:43,combo,su(pam_unix),32164.0,session closed for user news,E101,session closed for user <*>
142,Jun,19,04:08:55,combo,su(pam_unix),2192.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
143,Jun,19,04:08:55,combo,su(pam_unix),2192.0,session closed for user cyrus,E101,session closed for user <*>
144,Jun,19,04:08:57,combo,cups,,cupsd shutdown succeeded,E37,cupsd shutdown succeeded
145,Jun,19,04:09:02,combo,cups,,cupsd startup succeeded,E38,cupsd startup succeeded
146,Jun,19,04:09:11,combo,syslogd 1.4.1,,restart.,E90,restart.
147,Jun,19,04:09:11,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
148,Jun,19,04:15:18,combo,su(pam_unix),3676.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
149,Jun,19,04:15:18,combo,su(pam_unix),3676.0,session closed for user news,E101,session closed for user <*>
150,Jun,20,03:40:59,combo,ftpd,8829.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
151,Jun,20,03:40:59,combo,ftpd,8824.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
152,Jun,20,03:40:59,combo,ftpd,8828.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
153,Jun,20,03:40:59,combo,ftpd,8822.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
154,Jun,20,03:40:59,combo,ftpd,8833.0,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>
