LineId,Time,Program,Content,EventTemplate,EventId,ParameterList
63,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
64,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
65,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
66,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
67,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
68,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1133 bytes (1.10 KB) sent, 11393 bytes (11.1 KB) received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '1133', ' (1.10 KB) ', '11393', ' (11.1 KB) ', '<1 sec']"
69,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
70,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 483 bytes sent, 342 bytes received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '483', ' ', '342', ' ', '<1 sec']"
71,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1210 bytes (1.18 KB) sent, 366 bytes received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '1210', ' (1.18 KB) ', '366', ' ', '<1 sec']"
72,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
73,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '0', ' ', '0', ' ', '<1 sec']"
74,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 697 bytes sent, 324 bytes received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '697', ' ', '324', ' ', '<1 sec']"
75,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 704 bytes sent, 2476 bytes (2.41 KB) received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '704', ' ', '2476', ' (2.41 KB) ', '<1 sec']"
76,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 7829 bytes (7.64 KB) sent, 578548 bytes (564 KB) received, lifetime 00:18","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '7829', ' (7.64 KB) ', '578548', ' (564 KB) ', '00:18']"
77,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 3425 bytes (3.34 KB) sent, 212164 bytes (207 KB) received, lifetime 00:18","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '3425', ' (3.34 KB) ', '212164', ' (207 KB) ', '00:18']"
78,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '0', ' ', '0', ' ', '<1 sec']"
79,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
80,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
81,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
82,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
83,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
84,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 934 bytes sent, 5869 bytes (5.73 KB) received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '934', ' ', '5869', ' (5.73 KB) ', '<1 sec']"
85,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,<*>:<*> open through proxy <*>:<*> HTTPS,E1,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
86,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1325 bytes (1.29 KB) sent, 514 bytes received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '1325', ' (1.29 KB) ', '514', ' ', '<1 sec']"
87,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1293 bytes (1.26 KB) sent, 2439 bytes (2.38 KB) received, lifetime <1 sec","<*> close, <*> bytes<*>sent, <*> bytes<*>received, lifetime <*>",E2,"['proxy.cse.cuhk.edu.hk:5070', '1293', ' (1.26 KB) ', '2439', ' (2.38 KB) ', '<1 sec']"
